,empo_1,empo_2,empo_3
15132,Free-living,Non-saline,Soil (non-saline)
15133,Free-living,Non-saline,Water (non-saline)
15134,Free-living,Non-saline,Water (non-saline)
15135,Host-associated,Animal,Animal distal gut
15136,Host-associated,Animal,Animal distal gut
15137,Free-living,Non-saline,Soil (non-saline)
15138,Free-living,Non-saline,Water (non-saline)
15139,Free-living,Non-saline,Soil (non-saline)
15140,Host-associated,Plant,Plant surface
15141,Free-living,Non-saline,Water (non-saline)
15142,Free-living,Non-saline,Sediment (non-saline)
15143,Free-living,Saline,Sediment (saline)
15144,Host-associated,Animal,Animal corpus
15145,Free-living,Non-saline,Soil (non-saline)
15146,Host-associated,Animal,Animal secretion
15147,Host-associated,Plant,Plant rhizosphere
15148,Host-associated,Animal,Animal surface
15149,Host-associated,Animal,Animal distal gut
15150,Host-associated,Animal,Animal distal gut
15151,Free-living,Non-saline,Sediment (non-saline)
15152,Free-living,Non-saline,Water (non-saline)
15153,Host-associated,Plant,Plant surface
15154,Free-living,Non-saline,Soil (non-saline)
15155,Free-living,Saline,Water (saline)
15156,Free-living,Non-saline,Water (non-saline)
15157,Host-associated,Animal,Animal distal gut
15158,Free-living,Saline,Sediment (saline)
15159,Host-associated,Plant,Plant surface
15160,Free-living,Saline,Sediment (saline)
15161,Free-living,Saline,Sediment (saline)
15162,Free-living,Non-saline,Soil (non-saline)
15163,Free-living,Non-saline,Water (non-saline)
15164,Free-living,Non-saline,Water (non-saline)
15165,Free-living,Non-saline,Water (non-saline)
15166,Free-living,Saline,Sediment (saline)
15167,Free-living,Non-saline,Water (non-saline)
15168,Free-living,Non-saline,Soil (non-saline)
15169,Host-associated,Animal,Animal distal gut
15170,Host-associated,Animal,Animal distal gut
15171,Host-associated,Animal,Animal surface
15172,Host-associated,Animal,Animal surface
15173,Free-living,Non-saline,Soil (non-saline)
15174,Free-living,Non-saline,Soil (non-saline)
15175,Free-living,Saline,Water (saline)
15176,Free-living,Non-saline,Water (non-saline)
15177,Host-associated,Animal,Animal secretion
15178,Host-associated,Animal,Animal surface
15179,Host-associated,Animal,Animal surface
15180,Free-living,Non-saline,Soil (non-saline)
15181,Free-living,Non-saline,Water (non-saline)
15182,Host-associated,Animal,Animal surface
15183,Free-living,Non-saline,Water (non-saline)
15184,Free-living,Non-saline,Soil (non-saline)
15185,Free-living,Non-saline,Soil (non-saline)
15186,Free-living,Non-saline,Water (non-saline)
15187,Host-associated,Plant,Plant corpus
15188,Free-living,Non-saline,Soil (non-saline)
15189,Host-associated,Animal,Animal distal gut
15190,Free-living,Non-saline,Surface (non-saline)
15191,Free-living,Non-saline,Surface (non-saline)
15192,Host-associated,Animal,Animal surface
15193,Host-associated,Animal,Animal distal gut
15194,Host-associated,Animal,Animal distal gut
15195,Host-associated,Animal,Animal surface
15196,Host-associated,Plant,Plant surface
15197,Free-living,Non-saline,Soil (non-saline)
15198,Host-associated,Animal,Animal surface
15199,Free-living,Non-saline,Sediment (non-saline)
15200,Host-associated,Animal,Animal proximal gut
15201,Host-associated,Animal,Animal distal gut
15202,Free-living,Non-saline,Water (non-saline)
15203,Host-associated,Animal,Animal distal gut
15204,Host-associated,Animal,Animal proximal gut
15205,Host-associated,Animal,Animal surface
15206,Free-living,Non-saline,Soil (non-saline)
15207,Host-associated,Animal,Animal surface
15208,Host-associated,Animal,Animal surface
15209,Free-living,Non-saline,Soil (non-saline)
15210,Free-living,Non-saline,Soil (non-saline)
15211,Free-living,Non-saline,Water (non-saline)
15212,Host-associated,Animal,Animal distal gut
15213,Host-associated,Animal,Animal distal gut
15214,Free-living,Non-saline,Soil (non-saline)
15215,Free-living,Non-saline,Water (non-saline)
15216,Host-associated,Animal,Animal surface
15217,Host-associated,Animal,Animal surface
15218,Free-living,Non-saline,Water (non-saline)
15219,Host-associated,Animal,Animal surface
15220,Free-living,Saline,Sediment (saline)
15221,Host-associated,Animal,Animal surface
15222,Host-associated,Animal,Animal distal gut
15223,Free-living,Non-saline,Surface (non-saline)
15224,Host-associated,Animal,Animal distal gut
15225,Host-associated,Plant,Plant surface
15226,Host-associated,Animal,Animal surface
15227,Free-living,Non-saline,Water (non-saline)
15228,Host-associated,Animal,Animal distal gut
15229,Host-associated,Plant,Plant surface
15230,Host-associated,Animal,Animal secretion
15231,Free-living,Non-saline,Water (non-saline)
15232,Free-living,Non-saline,Surface (non-saline)
15233,Free-living,Non-saline,Soil (non-saline)
15234,Free-living,Non-saline,Water (non-saline)
15235,Free-living,Non-saline,Water (non-saline)
15236,Free-living,Non-saline,Soil (non-saline)
15237,Free-living,Non-saline,Soil (non-saline)
15238,Host-associated,Animal,Animal distal gut
15239,Host-associated,Animal,Animal surface
15240,Free-living,Non-saline,Water (non-saline)
15241,Host-associated,Animal,Animal distal gut
15242,Host-associated,Animal,Animal secretion
15243,Host-associated,Plant,Plant surface
15244,Host-associated,Animal,Animal surface
15245,Host-associated,Animal,Animal distal gut
15246,Host-associated,Animal,Animal corpus
15247,Free-living,Saline,Water (saline)
15248,Free-living,Non-saline,Water (non-saline)
15249,Host-associated,Animal,Animal distal gut
15250,Free-living,Saline,Sediment (saline)
15251,Free-living,Saline,Sediment (saline)
15252,Free-living,Non-saline,Water (non-saline)
15253,Free-living,Non-saline,Sediment (non-saline)
15254,Host-associated,Animal,Animal surface
15255,Free-living,Saline,Water (saline)
15256,Host-associated,Animal,Animal distal gut
15257,Free-living,Non-saline,Soil (non-saline)
15258,Host-associated,Animal,Animal surface
15259,Free-living,Non-saline,Water (non-saline)
15260,Host-associated,Plant,Plant surface
15261,Host-associated,Plant,Plant rhizosphere
15262,Host-associated,Animal,Animal secretion
15263,Host-associated,Animal,Animal surface
15264,Free-living,Non-saline,Water (non-saline)
15265,Host-associated,Animal,Animal distal gut
15266,Free-living,Non-saline,Soil (non-saline)
15267,Free-living,Non-saline,Water (non-saline)
15268,Host-associated,Animal,Animal distal gut
15269,Host-associated,Animal,Animal distal gut
15270,Host-associated,Animal,Animal surface
15271,Host-associated,Animal,Animal secretion
15272,Free-living,Non-saline,Soil (non-saline)
15273,Free-living,Non-saline,Water (non-saline)
15274,Free-living,Non-saline,Sediment (non-saline)
15275,Free-living,Non-saline,Sediment (non-saline)
15276,Host-associated,Animal,Animal surface
15277,Host-associated,Animal,Animal distal gut
15278,Free-living,Non-saline,Water (non-saline)
15279,Host-associated,Plant,Plant surface
15280,Free-living,Non-saline,Soil (non-saline)
15281,Free-living,Non-saline,Water (non-saline)
15282,Free-living,Non-saline,Water (non-saline)
15283,Free-living,Non-saline,Water (non-saline)
15284,Host-associated,Animal,Animal distal gut
15285,Host-associated,Animal,Animal distal gut
15286,Host-associated,Animal,Animal surface
15287,Host-associated,Animal,Animal distal gut
15288,Host-associated,Animal,Animal distal gut
15289,Free-living,Saline,Water (saline)
15290,Free-living,Saline,Water (saline)
15291,Host-associated,Plant,Plant surface
15292,Host-associated,Animal,Animal surface
15293,Host-associated,Plant,Plant corpus
15294,Host-associated,Plant,Plant surface
15295,Free-living,Non-saline,Surface (non-saline)
15296,Host-associated,Animal,Animal distal gut
15297,Host-associated,Animal,Animal surface
15298,Free-living,Non-saline,Soil (non-saline)
15299,Free-living,Non-saline,Soil (non-saline)
15300,Host-associated,Animal,Animal distal gut
15301,Free-living,Non-saline,Water (non-saline)
15302,Host-associated,Animal,Animal surface
15303,Host-associated,Animal,Animal surface
15304,Free-living,Non-saline,Sediment (non-saline)
15305,Free-living,Non-saline,Water (non-saline)
15306,Host-associated,Animal,Animal secretion
15307,Host-associated,Animal,Animal secretion
15308,Host-associated,Animal,Animal distal gut
15309,Host-associated,Animal,Animal surface
15310,Host-associated,Plant,Plant surface
15311,Free-living,Non-saline,Water (non-saline)
15312,Host-associated,Animal,Animal surface
15313,Host-associated,Animal,Animal distal gut
15314,Free-living,Non-saline,Water (non-saline)
15315,Host-associated,Animal,Animal distal gut
15316,Host-associated,Animal,Animal surface
15317,Host-associated,Plant,Plant surface
15318,Host-associated,Animal,Animal surface
15319,Host-associated,Animal,Animal distal gut
15320,Host-associated,Animal,Animal distal gut
15321,Free-living,Non-saline,Soil (non-saline)
15322,Free-living,Non-saline,Surface (non-saline)
15323,Host-associated,Animal,Animal distal gut
15324,Free-living,Non-saline,Water (non-saline)
15325,Free-living,Non-saline,Soil (non-saline)
15326,Free-living,Non-saline,Sediment (non-saline)
15327,Host-associated,Animal,Animal surface
15328,Free-living,Non-saline,Water (non-saline)
15329,Host-associated,Animal,Animal distal gut
15330,Free-living,Non-saline,Water (non-saline)
15331,Host-associated,Plant,Plant surface
15332,Free-living,Non-saline,Water (non-saline)
15333,Host-associated,Animal,Animal surface
15334,Host-associated,Animal,Animal surface
15335,Free-living,Non-saline,Soil (non-saline)
15336,Free-living,Non-saline,Water (non-saline)
15337,Host-associated,Plant,Plant surface
15338,Free-living,Non-saline,Water (non-saline)
15339,Host-associated,Animal,Animal surface
15340,Free-living,Non-saline,Surface (non-saline)
15341,Free-living,Non-saline,Soil (non-saline)
15342,Free-living,Non-saline,Sediment (non-saline)
15343,Free-living,Non-saline,Soil (non-saline)
15344,Free-living,Non-saline,Soil (non-saline)
15345,Host-associated,Plant,Plant rhizosphere
15346,Host-associated,Plant,Plant rhizosphere
15347,Free-living,Non-saline,Soil (non-saline)
15348,Free-living,Saline,Sediment (saline)
15349,Free-living,Non-saline,Surface (non-saline)
15350,Host-associated,Animal,Animal distal gut
15351,Host-associated,Plant,Plant rhizosphere
15352,Free-living,Saline,Sediment (saline)
15353,Free-living,Non-saline,Soil (non-saline)
15354,Free-living,Non-saline,Soil (non-saline)
15355,Free-living,Non-saline,Soil (non-saline)
15356,Host-associated,Plant,Plant rhizosphere
15357,Host-associated,Animal,Animal distal gut
15358,Free-living,Saline,Water (saline)
15359,Host-associated,Animal,Animal distal gut
15360,Host-associated,Animal,Animal surface
15361,Host-associated,Plant,Plant surface
15362,Host-associated,Animal,Animal distal gut
15363,Free-living,Non-saline,Soil (non-saline)
15364,Free-living,Non-saline,Water (non-saline)
15365,Free-living,Non-saline,Water (non-saline)
15366,Host-associated,Animal,Animal corpus
15367,Free-living,Non-saline,Soil (non-saline)
15368,Free-living,Non-saline,Water (non-saline)
15369,Host-associated,Animal,Animal distal gut
15370,Host-associated,Animal,Animal distal gut
15371,Free-living,Non-saline,Sediment (non-saline)
15372,Free-living,Saline,Water (saline)
15373,Free-living,Non-saline,Soil (non-saline)
15374,Host-associated,Animal,Animal distal gut
15375,Host-associated,Plant,Plant surface
15376,Free-living,Non-saline,Water (non-saline)
15377,Host-associated,Plant,Plant surface
15378,Free-living,Non-saline,Water (non-saline)
15379,Host-associated,Animal,Animal distal gut
15380,Free-living,Non-saline,Water (non-saline)
15381,Free-living,Non-saline,Surface (non-saline)
15382,Free-living,Non-saline,Water (non-saline)
15383,Host-associated,Animal,Animal surface
15384,Free-living,Non-saline,Soil (non-saline)
15385,Host-associated,Animal,Animal corpus
15386,Host-associated,Animal,Animal distal gut
15387,Host-associated,Animal,Animal distal gut
15388,Host-associated,Plant,Plant surface
15389,Host-associated,Animal,Animal surface
15390,Host-associated,Animal,Animal surface
15391,Free-living,Non-saline,Surface (non-saline)
15392,Free-living,Non-saline,Water (non-saline)
15393,Host-associated,Animal,Animal surface
15394,Free-living,Non-saline,Water (non-saline)
15395,Host-associated,Animal,Animal distal gut
15396,Host-associated,Animal,Animal surface
15397,Free-living,Non-saline,Soil (non-saline)
15398,Host-associated,Plant,Plant rhizosphere
15399,Free-living,Non-saline,Soil (non-saline)
15400,Free-living,Non-saline,Water (non-saline)
15401,Free-living,Non-saline,Water (non-saline)
15402,Free-living,Non-saline,Soil (non-saline)
15403,Host-associated,Animal,Animal distal gut
15404,Free-living,Non-saline,Water (non-saline)
15405,Host-associated,Plant,Plant surface
15406,Free-living,Non-saline,Soil (non-saline)
15407,Free-living,Non-saline,Water (non-saline)
15408,Free-living,Non-saline,Water (non-saline)
15409,Host-associated,Animal,Animal distal gut
15410,Free-living,Non-saline,Soil (non-saline)
15411,Free-living,Non-saline,Water (non-saline)
15412,Free-living,Non-saline,Water (non-saline)
15413,Free-living,Non-saline,Water (non-saline)
15414,Host-associated,Animal,Animal distal gut
15415,Host-associated,Animal,Animal surface
15416,Free-living,Non-saline,Soil (non-saline)
15417,Free-living,Non-saline,Surface (non-saline)
15418,Free-living,Non-saline,Water (non-saline)
15419,Free-living,Non-saline,Water (non-saline)
15420,Free-living,Non-saline,Surface (non-saline)
15421,Host-associated,Animal,Animal secretion
15422,Host-associated,Animal,Animal distal gut
15423,Free-living,Non-saline,Soil (non-saline)
15424,Free-living,Non-saline,Water (non-saline)
15425,Host-associated,Animal,Animal distal gut
15426,Host-associated,Animal,Animal surface
15427,Host-associated,Animal,Animal distal gut
15428,Host-associated,Animal,Animal distal gut
15429,Free-living,Non-saline,Soil (non-saline)
15430,Host-associated,Animal,Animal distal gut
15431,Host-associated,Animal,Animal surface
15432,Host-associated,Animal,Animal surface
15433,Host-associated,Animal,Animal distal gut
15434,Host-associated,Animal,Animal surface
15435,Free-living,Non-saline,Soil (non-saline)
15436,Host-associated,Plant,Plant surface
15437,Host-associated,Animal,Animal distal gut
15438,Free-living,Non-saline,Water (non-saline)
15439,Host-associated,Animal,Animal surface
15440,Free-living,Non-saline,Soil (non-saline)
15441,Free-living,Non-saline,Surface (non-saline)
15442,Host-associated,Animal,Animal distal gut
15443,Free-living,Non-saline,Water (non-saline)
15444,Host-associated,Animal,Animal surface
15445,Host-associated,Animal,Animal surface
15446,Host-associated,Plant,Plant rhizosphere
15447,Free-living,Non-saline,Soil (non-saline)
15448,Host-associated,Animal,Animal surface
15449,Host-associated,Animal,Animal distal gut
15450,Free-living,Non-saline,Soil (non-saline)
15451,Host-associated,Plant,Plant corpus
15452,Free-living,Non-saline,Soil (non-saline)
15453,Host-associated,Animal,Animal distal gut
15454,Free-living,Saline,Sediment (saline)
15455,Host-associated,Animal,Animal distal gut
15456,Host-associated,Animal,Animal surface
15457,Host-associated,Animal,Animal surface
15458,Host-associated,Animal,Animal distal gut
15459,Free-living,Non-saline,Water (non-saline)
15460,Host-associated,Animal,Animal distal gut
15461,Free-living,Non-saline,Soil (non-saline)
15462,Free-living,Non-saline,Soil (non-saline)
15463,Host-associated,Plant,Plant rhizosphere
15464,Host-associated,Animal,Animal surface
15465,Free-living,Non-saline,Surface (non-saline)
15466,Free-living,Saline,Sediment (saline)
15467,Free-living,Saline,Water (saline)
15468,Host-associated,Plant,Plant rhizosphere
15469,Free-living,Non-saline,Surface (non-saline)
15470,Free-living,Non-saline,Water (non-saline)
15471,Free-living,Saline,Sediment (saline)
15472,Free-living,Non-saline,Water (non-saline)
15473,Free-living,Non-saline,Water (non-saline)
15474,Free-living,Non-saline,Surface (non-saline)
15475,Free-living,Non-saline,Soil (non-saline)
15476,Free-living,Non-saline,Soil (non-saline)
15477,Host-associated,Animal,Animal distal gut
15478,Host-associated,Animal,Animal distal gut
15479,Host-associated,Animal,Animal corpus
15480,Host-associated,Animal,Animal distal gut
15481,Host-associated,Animal,Animal secretion
15482,Free-living,Non-saline,Soil (non-saline)
15483,Free-living,Non-saline,Soil (non-saline)
15484,Host-associated,Animal,Animal distal gut
15485,Free-living,Non-saline,Surface (non-saline)
15486,Host-associated,Animal,Animal proximal gut
15487,Free-living,Non-saline,Water (non-saline)
15488,Host-associated,Animal,Animal surface
15489,Host-associated,Animal,Animal distal gut
15490,Host-associated,Animal,Animal distal gut
15491,Free-living,Saline,Water (saline)
15492,Free-living,Non-saline,Soil (non-saline)
15493,Host-associated,Plant,Plant surface
15494,Host-associated,Animal,Animal distal gut
15495,Free-living,Non-saline,Water (non-saline)
15496,Free-living,Non-saline,Soil (non-saline)
15497,Host-associated,Animal,Animal distal gut
15498,Free-living,Non-saline,Soil (non-saline)
15499,Free-living,Non-saline,Water (non-saline)
15500,Free-living,Non-saline,Soil (non-saline)
15501,Host-associated,Animal,Animal surface
15502,Free-living,Non-saline,Soil (non-saline)
15503,Free-living,Non-saline,Water (non-saline)
15504,Host-associated,Animal,Animal distal gut
15505,Free-living,Saline,Sediment (saline)
15506,Free-living,Non-saline,Water (non-saline)
15507,Host-associated,Animal,Animal surface
15508,Host-associated,Plant,Plant rhizosphere
15509,Host-associated,Plant,Plant surface
15510,Host-associated,Animal,Animal distal gut
15511,Host-associated,Plant,Plant corpus
15512,Host-associated,Animal,Animal distal gut
15513,Free-living,Non-saline,Soil (non-saline)
15514,Free-living,Non-saline,Water (non-saline)
15515,Host-associated,Animal,Animal secretion
15516,Free-living,Non-saline,Soil (non-saline)
15517,Free-living,Non-saline,Water (non-saline)
15518,Free-living,Non-saline,Soil (non-saline)
15519,Host-associated,Animal,Animal distal gut
15520,Free-living,Non-saline,Water (non-saline)
15521,Host-associated,Animal,Animal surface
15522,Free-living,Non-saline,Soil (non-saline)
15523,Free-living,Non-saline,Surface (non-saline)
15524,Free-living,Non-saline,Soil (non-saline)
15525,Host-associated,Animal,Animal distal gut
15526,Free-living,Non-saline,Soil (non-saline)
15527,Free-living,Non-saline,Water (non-saline)
15528,Free-living,Non-saline,Surface (non-saline)
15529,Free-living,Non-saline,Surface (non-saline)
15530,Host-associated,Animal,Animal distal gut
15531,Host-associated,Animal,Animal distal gut
15532,Free-living,Non-saline,Water (non-saline)
15533,Host-associated,Animal,Animal distal gut
15534,Host-associated,Plant,Plant surface
15535,Host-associated,Animal,Animal distal gut
15536,Free-living,Non-saline,Soil (non-saline)
15537,Host-associated,Animal,Animal distal gut
15538,Host-associated,Animal,Animal distal gut
15539,Host-associated,Animal,Animal secretion
15540,Host-associated,Animal,Animal proximal gut
15541,Free-living,Non-saline,Water (non-saline)
15542,Free-living,Non-saline,Surface (non-saline)
15543,Free-living,Non-saline,Soil (non-saline)
15544,Free-living,Non-saline,Water (non-saline)
15545,Free-living,Non-saline,Soil (non-saline)
15546,Free-living,Non-saline,Water (non-saline)
15547,Free-living,Non-saline,Water (non-saline)
15548,Free-living,Non-saline,Water (non-saline)
15549,Host-associated,Animal,Animal secretion
15550,Free-living,Non-saline,Sediment (non-saline)
15551,Free-living,Non-saline,Soil (non-saline)
15552,Free-living,Non-saline,Soil (non-saline)
15553,Free-living,Non-saline,Soil (non-saline)
15554,Free-living,Saline,Sediment (saline)
15555,Free-living,Non-saline,Water (non-saline)
15556,Free-living,Non-saline,Water (non-saline)
15557,Free-living,Non-saline,Surface (non-saline)
15558,Host-associated,Plant,Plant rhizosphere
15559,Free-living,Non-saline,Soil (non-saline)
15560,Free-living,Non-saline,Water (non-saline)
15561,Host-associated,Animal,Animal surface
15562,Host-associated,Animal,Animal surface
15563,Host-associated,Animal,Animal surface
15564,Free-living,Non-saline,Water (non-saline)
15565,Host-associated,Animal,Animal surface
15566,Free-living,Non-saline,Surface (non-saline)
15567,Free-living,Non-saline,Soil (non-saline)
15568,Host-associated,Animal,Animal distal gut
15569,Free-living,Non-saline,Water (non-saline)
15570,Free-living,Non-saline,Water (non-saline)
15571,Host-associated,Plant,Plant surface
15572,Free-living,Non-saline,Water (non-saline)
15573,Host-associated,Animal,Animal surface
15574,Host-associated,Animal,Animal secretion
15575,Free-living,Non-saline,Water (non-saline)
15576,Host-associated,Animal,Animal distal gut
15577,Free-living,Non-saline,Soil (non-saline)
15578,Host-associated,Plant,Plant surface
15579,Free-living,Non-saline,Soil (non-saline)
15580,Free-living,Non-saline,Soil (non-saline)
15581,Free-living,Non-saline,Water (non-saline)
15582,Free-living,Non-saline,Soil (non-saline)
15583,Free-living,Non-saline,Soil (non-saline)
15584,Host-associated,Animal,Animal distal gut
15585,Free-living,Non-saline,Surface (non-saline)
15586,Free-living,Saline,Sediment (saline)
15587,Free-living,Non-saline,Water (non-saline)
15588,Free-living,Non-saline,Soil (non-saline)
15589,Host-associated,Plant,Plant surface
15590,Free-living,Non-saline,Soil (non-saline)
15591,Free-living,Non-saline,Soil (non-saline)
15592,Host-associated,Animal,Animal surface
15593,Host-associated,Animal,Animal surface
15594,Host-associated,Plant,Plant rhizosphere
15595,Free-living,Non-saline,Soil (non-saline)
15596,Host-associated,Animal,Animal surface
15597,Host-associated,Animal,Animal distal gut
15598,Free-living,Non-saline,Water (non-saline)
15599,Free-living,Non-saline,Water (non-saline)
15600,Host-associated,Animal,Animal distal gut
15601,Free-living,Non-saline,Soil (non-saline)
15602,Host-associated,Animal,Animal distal gut
15603,Free-living,Non-saline,Sediment (non-saline)
15604,Host-associated,Animal,Animal distal gut
15605,Free-living,Non-saline,Water (non-saline)
15606,Free-living,Non-saline,Sediment (non-saline)
15607,Free-living,Non-saline,Water (non-saline)
15608,Host-associated,Plant,Plant rhizosphere
15609,Free-living,Non-saline,Water (non-saline)
15610,Free-living,Non-saline,Soil (non-saline)
15611,Free-living,Non-saline,Water (non-saline)
15612,Free-living,Non-saline,Water (non-saline)
15613,Host-associated,Animal,Animal secretion
15614,Host-associated,Plant,Plant surface
15615,Host-associated,Animal,Animal surface
15616,Free-living,Non-saline,Soil (non-saline)
15617,Host-associated,Animal,Animal distal gut
15618,Free-living,Non-saline,Soil (non-saline)
15619,Free-living,Non-saline,Surface (non-saline)
15620,Free-living,Non-saline,Water (non-saline)
15621,Host-associated,Animal,Animal secretion
15622,Host-associated,Animal,Animal distal gut
15623,Host-associated,Animal,Animal distal gut
15624,Host-associated,Animal,Animal surface
15625,Host-associated,Plant,Plant surface
15626,Host-associated,Animal,Animal distal gut
15627,Free-living,Saline,Water (saline)
15628,Free-living,Non-saline,Soil (non-saline)
15629,Host-associated,Animal,Animal distal gut
15630,Free-living,Non-saline,Soil (non-saline)
15631,Host-associated,Animal,Animal surface
15632,Host-associated,Animal,Animal surface
15633,Host-associated,Animal,Animal distal gut
15634,Free-living,Non-saline,Soil (non-saline)
15635,Host-associated,Animal,Animal surface
15636,Host-associated,Animal,Animal distal gut
15637,Free-living,Non-saline,Soil (non-saline)
15638,Host-associated,Animal,Animal surface
15639,Free-living,Non-saline,Water (non-saline)
15640,Free-living,Non-saline,Soil (non-saline)
15641,Free-living,Non-saline,Sediment (non-saline)
15642,Host-associated,Animal,Animal distal gut
15643,Free-living,Non-saline,Soil (non-saline)
15644,Host-associated,Animal,Animal distal gut
15645,Free-living,Non-saline,Water (non-saline)
15646,Host-associated,Animal,Animal surface
15647,Host-associated,Animal,Animal distal gut
15648,Host-associated,Animal,Animal surface
15649,Host-associated,Animal,Animal corpus
15650,Free-living,Non-saline,Sediment (non-saline)
15651,Host-associated,Animal,Animal distal gut
15652,Free-living,Non-saline,Water (non-saline)
15653,Free-living,Saline,Water (saline)
15654,Host-associated,Animal,Animal distal gut
15655,Free-living,Non-saline,Soil (non-saline)
15656,Free-living,Saline,Water (saline)
15657,Host-associated,Animal,Animal distal gut
15658,Free-living,Non-saline,Water (non-saline)
15659,Free-living,Non-saline,Surface (non-saline)
15660,Free-living,Non-saline,Soil (non-saline)
15661,Host-associated,Animal,Animal distal gut
15662,Host-associated,Animal,Animal distal gut
15663,Free-living,Non-saline,Soil (non-saline)
15664,Host-associated,Animal,Animal surface
15665,Host-associated,Animal,Animal distal gut
15666,Free-living,Non-saline,Water (non-saline)
15667,Host-associated,Animal,Animal distal gut
15668,Host-associated,Animal,Animal surface
15669,Host-associated,Animal,Animal surface
15670,Host-associated,Animal,Animal surface
15671,Host-associated,Animal,Animal distal gut
15672,Host-associated,Animal,Animal distal gut
15673,Free-living,Non-saline,Water (non-saline)
15674,Free-living,Non-saline,Water (non-saline)
15675,Host-associated,Animal,Animal surface
15676,Free-living,Non-saline,Water (non-saline)
15677,Host-associated,Animal,Animal distal gut
15678,Free-living,Non-saline,Water (non-saline)
15679,Host-associated,Animal,Animal surface
15680,Host-associated,Animal,Animal distal gut
15681,Free-living,Non-saline,Soil (non-saline)
15682,Free-living,Non-saline,Surface (non-saline)
15683,Free-living,Saline,Water (saline)
15684,Free-living,Non-saline,Water (non-saline)
15685,Host-associated,Animal,Animal surface
15686,Free-living,Non-saline,Water (non-saline)
15687,Host-associated,Animal,Animal distal gut
15688,Free-living,Non-saline,Water (non-saline)
15689,Free-living,Non-saline,Water (non-saline)
15690,Free-living,Non-saline,Soil (non-saline)
15691,Host-associated,Animal,Animal distal gut
15692,Free-living,Non-saline,Sediment (non-saline)
15693,Host-associated,Plant,Plant surface
15694,Host-associated,Animal,Animal surface
15695,Free-living,Non-saline,Soil (non-saline)
15696,Host-associated,Animal,Animal proximal gut
15697,Host-associated,Animal,Animal distal gut
15698,Free-living,Saline,Sediment (saline)
15699,Free-living,Non-saline,Sediment (non-saline)
15700,Free-living,Non-saline,Soil (non-saline)
15701,Free-living,Non-saline,Water (non-saline)
15702,Host-associated,Animal,Animal distal gut
15703,Host-associated,Animal,Animal distal gut
15704,Host-associated,Animal,Animal secretion
15705,Free-living,Non-saline,Surface (non-saline)
15706,Free-living,Non-saline,Water (non-saline)
15707,Host-associated,Animal,Animal distal gut
15708,Free-living,Non-saline,Water (non-saline)
15709,Host-associated,Plant,Plant surface
15710,Free-living,Non-saline,Soil (non-saline)
15711,Host-associated,Plant,Plant rhizosphere
15712,Free-living,Non-saline,Soil (non-saline)
15713,Free-living,Non-saline,Water (non-saline)
15714,Host-associated,Animal,Animal surface
15715,Free-living,Non-saline,Soil (non-saline)
15716,Free-living,Non-saline,Surface (non-saline)
15717,Free-living,Non-saline,Surface (non-saline)
15718,Host-associated,Animal,Animal distal gut
15719,Host-associated,Animal,Animal surface
15720,Host-associated,Animal,Animal proximal gut
15721,Host-associated,Animal,Animal distal gut
15722,Free-living,Non-saline,Soil (non-saline)
15723,Free-living,Non-saline,Water (non-saline)
15724,Host-associated,Animal,Animal surface
15725,Host-associated,Animal,Animal surface
15726,Free-living,Saline,Water (saline)
15727,Free-living,Saline,Water (saline)
15728,Free-living,Non-saline,Soil (non-saline)
15729,Host-associated,Animal,Animal proximal gut
15730,Free-living,Non-saline,Sediment (non-saline)
15731,Host-associated,Animal,Animal surface
15732,Free-living,Non-saline,Water (non-saline)
15733,Free-living,Non-saline,Water (non-saline)
15734,Host-associated,Animal,Animal surface
15735,Host-associated,Animal,Animal surface
15736,Host-associated,Plant,Plant surface
15737,Host-associated,Animal,Animal distal gut
15738,Free-living,Non-saline,Soil (non-saline)
15739,Free-living,Non-saline,Water (non-saline)
15740,Free-living,Non-saline,Surface (non-saline)
15741,Free-living,Non-saline,Soil (non-saline)
15742,Host-associated,Animal,Animal secretion
15743,Free-living,Non-saline,Surface (non-saline)
15744,Host-associated,Animal,Animal surface
15745,Host-associated,Animal,Animal surface
15746,Host-associated,Animal,Animal surface
15747,Host-associated,Animal,Animal distal gut
15748,Host-associated,Plant,Plant surface
15749,Free-living,Non-saline,Sediment (non-saline)
15750,Host-associated,Animal,Animal corpus
15751,Host-associated,Animal,Animal distal gut
15752,Free-living,Non-saline,Soil (non-saline)
15753,Host-associated,Animal,Animal distal gut
15754,Free-living,Non-saline,Soil (non-saline)
15755,Host-associated,Plant,Plant rhizosphere
15756,Free-living,Non-saline,Water (non-saline)
15757,Free-living,Non-saline,Surface (non-saline)
15758,Host-associated,Animal,Animal surface
15759,Free-living,Non-saline,Soil (non-saline)
15760,Free-living,Non-saline,Surface (non-saline)
15761,Host-associated,Animal,Animal distal gut
15762,Host-associated,Animal,Animal distal gut
15763,Host-associated,Animal,Animal distal gut
15764,Free-living,Non-saline,Soil (non-saline)
15765,Free-living,Non-saline,Water (non-saline)
15766,Free-living,Non-saline,Surface (non-saline)
15767,Free-living,Saline,Sediment (saline)
15768,Host-associated,Animal,Animal distal gut
15769,Free-living,Saline,Water (saline)
15770,Free-living,Non-saline,Surface (non-saline)
15771,Free-living,Non-saline,Soil (non-saline)
15772,Host-associated,Animal,Animal surface
